date,time,wlevelm,WTemp,ATemp,EC,InputV,BTemp,precip_mm
9/23/1994,14:00,0.32491531,5.688,24.6887,204.0405,12.5391,24.7656,NA
9/23/1994,16:00,0.325038782,5.6876,20.4416,207.4585,12.5391,18.6719,NA
9/23/1994,18:00,0.322318729,5.64,16.6357,207.428,12.5391,16.3281,NA
9/23/1994,20:00,0.323679715,5.6226,16.1038,207.1686,12.5391,14.9219,NA
9/23/1994,22:00,0.323803346,5.6491,15.5801,206.9855,12.5391,13.9844,NA
9/24/1994,0:00,0.323185033,5.6551,14.3753,206.6193,12.5391,13.2813,NA
9/24/1994,2:00,0.322813855,5.6299,13.8974,206.9397,12.5391,12.8125,NA
9/24/1994,4:00,0.322442534,5.6491,13.111,206.9244,12.5391,12.3438,NA
9/24/1994,6:00,0.319342626,5.6102,11.821,207.1381,12.5391,11.875,NA
9/24/1994,8:00,0.320583784,5.6569,13.0634,207.0312,12.4219,11.6406,NA
9/24/1994,10:00,0.32207107,5.6468,15.614,207.4585,12.4219,11.4062,NA
9/24/1994,12:00,0.322813855,5.6761,20.0012,207.428,12.5391,11.6406,NA
9/24/1994,14:00,0.322442534,5.6747,21.6483,207.4585,12.4219,11.6406,NA
9/24/1994,16:00,0.321823348,5.6757,21.4569,207.7331,12.4219,11.6406,NA
9/24/1994,18:00,0.321823348,5.6624,17.7811,207.6569,12.4219,11.4062,NA
9/24/1994,20:00,0.322318729,5.6615,16.6193,207.4127,12.4219,11.4062,NA
9/24/1994,22:00,0.322690097,5.6688,16.1102,207.6569,12.4219,11.1719,NA
9/25/1994,0:00,0.323432406,5.6546,14.9091,207.1991,12.4219,11.1719,NA
9/25/1994,2:00,0.323556068,5.65,14.411,207.0618,12.4219,10.9375,NA
9/25/1994,4:00,0.323679715,5.6367,14.3369,207.0923,12.4219,10.9375,NA
9/25/1994,6:00,0.319839281,5.6537,13.4726,207.1533,12.4219,10.7031,NA
9/25/1994,8:00,0.320831824,5.6491,14.357,207.1381,12.4219,10.7031,NA
9/25/1994,10:00,0.322194908,5.6551,17.9056,207.428,12.4219,10.7031,NA
9/25/1994,12:00,0.322442534,5.677,21.2399,207.1838,12.4219,10.7031,NA
9/25/1994,14:00,0.320707812,5.6766,23.6221,207.2906,12.4219,10.9375,NA
9/25/1994,16:00,0.321079801,5.666,23.4189,207.5195,12.4219,10.9375,NA
9/25/1994,18:00,0.321451646,5.6702,20.2814,207.1533,12.4219,10.9375,NA
9/25/1994,20:00,0.322690097,5.6688,18.3285,207.2449,12.4219,10.9375,NA
